영화명,감독,배우,장르,등급,전국관객수
아일랜드,마이클 베이,이완 맥그리거/스칼렛 요한슨/디몬 하운수/숀 빈/마이클 클락 던칸/스티브 부세미,SF,12세,3433900
비긴 어게인,존 카니,키이라 나이틀리/마크 러팔로/애덤 리바인/헤일리 스테인펠드/제임스 코든/캐서린 키너/씨 로 그린/아야 캐쉬/모스 데프/매디 코먼,멜로/로맨스,15세,3427464
스파이,이승준,설경구/문소리/다니엘 헤니/고창석/한예리/정인기/라미란/송재호/김지영,액션,15세,3423920
이끼,강우석,정재영/박해일/유준상/유선/허준호/유해진/김상호/김태한,드라마,청소년,3408144
포화속으로,이재한,차승원/권상우/T.O.P/김승우/김혜성/구성환/신현탁/문재원,드라마,12세,3385706
다이 하드 4 : 죽어도 산다,렌 와이즈먼,브루스 윌리스/저스틴 롱/티모시 올리펀트/클리프 커티스/매기 큐/메리 엘리자베스 윈스티드/케빈 스미스,액션,12세,3380800
맨 인 블랙 3,배리 소넨필드,윌 스미스/토미 리 존스/조슈 브롤린/저메인 클레멘트/엠마 톰슨/앨리스 이브/마이크 콜터/빌 헤이더/립 톤/니콜 셰르징거/마이클 스털버스/유리 로웬탈/케빈 코베이스,액션,12세,3379762
어바웃 타임,리차드 커티스,도널 글리슨/레이첼 맥아담스/빌 나이/린제이 던칸/톰 홀랜더/마고 로비/리디아 윌슨/톰 휴즈,멜로/로맨스,15세,3375735
다빈치 코드,론 하워드,톰 행크스/오드리 토투/이안 맥켈런/알프리드 몰리나/주겐 프로크노/장 르노/폴 베타니,미스터리,15세,3339082
스타워즈: 깨어난 포스,J.J. 에이브럼스,데이지 리들리/존 보예가/오스카 아이삭/아담 드라이버/도널 글리슨/해리슨 포드,액션,12세,3273798
분노의 질주: 더 세븐,제임스 완,빈 디젤/폴 워커/드웨인 존슨/제이슨 스타뎀/미셸 로드리게즈/조다나 브류스터/루카스 블랙/커트 러셀/타이레스/디몬 하운수/루다크리스/토니 자/나칼리 엠마뉴엘/론나 로우지/엘사 파타키,액션,15세,3247558
터미네이터 제니시스,앨런 테일러,아놀드 슈왈제네거/제이슨 클락/에밀리아 클라크/제이 코트니/J.K. 시몬스/다요 오케니이/맷 스미스/코트니 B. 반스/이병헌/아론 V. 윌리엄슨/샌드린 홀트/마이클 글래디스 ,액션,15세,3239371
그래비티,알폰소 쿠아론,산드라 블록/조지 클루니/에드 해리스/에릭 미쉘즈/바셔 세비지/오르토 이그낱티우센,SF,12세,3227452
우주전쟁,스티븐 스필버그,톰 크루즈/저스틴 채트윈/다코타 패닝/팀 로빈스/미란다 오토/데이비드 앨런 바스체,드라마,12세,3223000
그놈 목소리,박진표,설경구/김남주/김영철/강동원/송영창/고수희/김광규/이형철/전헤진/임종윤/김영필/김기성,드라마,12세,3143247
우리들의 행복한 시간,송해성,강동원/이나영/윤여정/강신일/정영숙/김지영/장현성,드라마,15세,3132320
캐리비안의 해적: 낯선 조류,롭 마샬,조니 뎁/제프리 러쉬/페넬로페 크루즈/이안 맥쉐인/로저 알람/주디 덴치/젬마 워드/리차드 그리피스/스티븐 그레이엄/샘 클라플린/아스트리드 베흐제 프리스베/키스 리차드,액션,12세,3130046
