영화명,감독,배우,장르,등급,전국관객수
아이 엠 넘버 포,D.J. 카루소,알렉스 페티퍼/티모시 올리펀트/테레사 팔머/다이아나 애그론/캘런 맥오리피,액션,12세,654386
엔더스 게임,개빈 후드,해리슨 포드/에이사 버터필드/벤 킹슬리/헤일리 스테인펠드/비올라 데이비스,SF,12세,654212
그날의 분위기,조규장,문채원/유연석/조재윤/박민우/이연두,멜로/로맨스,15세,652392
여고괴담 5,이종용,오연서/장경아/손은서/송민정/유신애,공포(호러),15세,652097
울학교 이티,박광춘,김수로/이한위/김성령/백성현/이민호,드라마,15세,651439
오션스,자끄 페렝/자크 클로드,피어스 브로스넌,다큐멘터리,전체관,650994
스텔스,롭 코헨,조쉬 루카스/제시카 비엘/제이미 폭스/샘 쉐퍼드/조 모튼,액션,12세,650160
프레스티지,크리스토퍼 놀란,휴 잭맨/크리스찬 베일/마이클 케인/스칼렛 요한슨/레베카 홀,스릴러,15세,646184
눈먼자들의 도시,페르난도 메이렐레스,줄리안 무어/마크 러팔로/가엘 가르시아 베르날/대니 글로버/앨리스 브라가,드라마,청소년,645218
리오,카를로스 살다나,앤 해서웨이/제시 아이젠버그/제이미 폭스/레슬리 만/제이크 T. 오스틴,애니메이션,전체관,645191
아파트,안병기,고소영/강성진/장희진/박하선/김동욱,공포(호러),18세,644893
명탐정 코난 : 침묵의 15분,시즈노 코분,타카야마 미나미/야마자키 와카나/마츠이 나오코/코야마 리키야/챠후린,애니메이션,전체관,644216
페임,케빈 탄차로엔,애셔 먼로/케이 파나베이커/케링턴 페인/폴 맥길/윌터 페레즈,코미디,12세,644163
머니볼,베넷 밀러,브래드 피트/조나 힐/필립 세이모어 호프만/로빈 라이트/크리스 프랫,드라마,12세,641099
백만장자의 첫사랑,김태균,현빈/이연희/이한솔/조용준/함시훈,멜로/로맨스,12세,639596
호튼,지미 헤이워드/스티브 마티노,짐 캐리/스티브 카렐/캐롤 버넷/윌 아넷/세스 로건,애니메이션,전체관,638598
스노우 화이트 앤 더 헌츠맨,루퍼트 샌더스,샤를리즈 테론/크리스틴 스튜어트/크리스 헴스워스/샘 클라플린/토비 존스,액션,12세,636631
마고리엄의 장난감 백화점,자크 헬름,더스틴 호프만/나탈리 포트만/제이슨 베이트먼/자크 밀스/테드 루드직,가족,전체관,635341
플랜맨,성시흡,정재영/한지민/장광/김지영/차예련,드라마,15세,632299
판타스틱 4: 실버 서퍼의 위협,팀 스토리,이안 그루퍼드/제시카 알바/크리스 에반스/마이클 치클리스/줄리안 맥마혼,SF,12세,631990
핸드폰,김한민,박용우/엄태웅/박솔미/황보연,스릴러,청소년,630049
스승의 은혜,임대웅,오미희/서영희/여현수/이지현,공포(호러),18세,629452
조선마술사,김대승,유승호/고아라/이경영/조윤희,드라마,12세,628568
다찌마와리,류승완,임원희/공효진/박시연/황보라,액션,12세,628508
명탐정 코난: 천공의 난파선,야마모토 야스이치로,타카야미 미나미/야마자키 와카나/야마구치 캇페이/코야마 리키야,애니메이션,전체관,628423
앨빈과 슈퍼밴드2,베티 토머스,제이슨 리/저스틴 롱/매튜 그레이 구블러/제시 맥카트니,가족,전체관,625900
더 임파서블,후안 안토니오 바요나,이완 맥그리거/나오미 왓츠/톰 홀랜드/제랄딘 채플린,액션,12세,622572
해부학 교실,손태웅,한지민/오태경/온주완/조민기,공포(호러),15세,622400
아더 크리스마스,베리 쿡,빌 나이/제임스 맥어보이/휴 로리/짐 브로드벤트,애니메이션,전체관,622286
눈의 여왕 2: 트롤의 마법거울,알렉세이 트시칠린,벨라 손/샬토 코플리/숀 빈/이사벨 퍼만,애니메이션,전체관,618598
인 타임,앤드류 니콜,아만다 사이프리드/저스틴 팀버레이크/킬리언 머피/올리비아 와일드,SF,12세,616943
홍길동의 후예,정용기,이범수/김수로/성동일/이시영,액션,12세,616654
특종: 량첸살인기,노덕,조정석/이미숙/이하나/김의성,스릴러,15세,616481
행복을 찾아서,가브리엘 무치노,윌 스미스/제이든 스미스/제임스 카렌/탠디 뉴튼,드라마,전체관,615374
앨빈과 슈퍼밴드,팀 힐,제이슨 리/저스틴 롱/매튜 그레이 구블러/제시 맥카트니,코미디,전체관,612936
미쓰GO,박철관,고현정/유해진/성동일/이문식,액션,15세,611685
무영검,김영준,이서진/윤소이/이기용/신현준,액션,12세,609852
서부전선,천성일,설경구/여진구/이경영/정성화,전쟁,12세,609063
그린 존,폴 그린그래스,맷 데이먼/제이슨 아이삭스/그렉 키니어/에이미 라이언,드라마,15세,606841
헝거게임: 판엠의 불꽃,게리 로스,제니퍼 로렌스/조쉬 허처슨/리암 헴스워드/엘리자베스 뱅크스,액션,15세,606531
왓치맨,잭 스나이더,제프리 딘 모건/빌리 크루덥/말린 애커맨/칼라 구기노,액션,청소년,606317
이층의 악당,손재곤,한석규/김혜수/지우/김기천,코미디,15세,605224
피에타,김기덕,조민수/이정진/우기홍/강은진,드라마,청소년,602967
역전의 명수,박흥식,정준호/윤소이/김혜나/박정수,코미디,15세,602078
그루지,시미즈 다카시,사라 미셸 겔러/제이슨 베어/빌 풀만/그레이스 자브리스키,공포(호러),15세,601342
다이노소어 어드벤처 3D,베리 쿡/닐 나이팅게일,저스틴 롱/찰리 로우/앵거리 라이스,액션,전체관,599963
